 particle_count, frames_per_second, particle_memory_mb
6, 64.0196, 0.000778198
0, 64.3062, 0
6, 64.2076, 0.000778198
12, 64.4193, 0.0015564
18, 63.9883, 0.00233459
24, 64.3646, 0.00311279
30, 64.3256, 0.00389099
36, 64.3091, 0.00466919
42, 64.3216, 0.00544739
48, 64.3391, 0.00622559
54, 64.1976, 0.00700378
60, 64.316, 0.00778198
66, 64.2279, 0.00856018
72, 64.2271, 0.00933838
78, 64.1813, 0.0101166
84, 64.8925, 0.0108948
90, 67.1905, 0.011673
96, 69.9203, 0.0124512
102, 75.4468, 0.0132294
108, 80.9731, 0.0140076
114, 86.4011, 0.0147858
120, 91.6239, 0.015564
126, 96.7827, 0.0163422
132, 96.6079, 0.0171204
138, 95.7467, 0.0178986
144, 90.7864, 0.0186768
150, 86.0901, 0.019455
156, 82.9421, 0.0202332
162, 79.5089, 0.0210114
168, 76.3322, 0.0217896
174, 74.2949, 0.0225677
180, 71.7701, 0.0233459
186, 68.8632, 0.0241241
192, 66.5412, 0.0249023
198, 64.1198, 0.0256805
204, 61.9981, 0.0264587
210, 59.951, 0.0272369
216, 57.6483, 0.0280151
222, 55.6965, 0.0287933
228, 53.8933, 0.0295715
234, 52.1858, 0.0303497
240, 50.4426, 0.0311279
246, 49.0267, 0.0319061
252, 47.4141, 0.0326843
258, 45.9682, 0.0334625
264, 44.7462, 0.0342407
270, 43.3321, 0.0350189
276, 41.8514, 0.0357971
282, 40.7245, 0.0365753
288, 39.6093, 0.0373535
294, 38.5828, 0.0381317
300, 37.6529, 0.0389099
306, 36.6468, 0.0396881
312, 35.8073, 0.0404663
318, 34.8636, 0.0412445
324, 33.8378, 0.0420227
330, 33.0616, 0.0428009
336, 32.1803, 0.0435791
342, 31.2934, 0.0443573
348, 30.5126, 0.0451355
354, 29.788, 0.0459137
360, 29.2496, 0.0466919
366, 28.3916, 0.0474701
372, 26.3878, 0.0482483
378, 23.7542, 0.0490265
384, 21.0362, 0.0498047
390, 18.376, 0.0505829
396, 15.9056, 0.0513611
402, 13.6933, 0.0521393
408, 11.8442, 0.0529175
414, 10.4126, 0.0536957
420, 9.29683, 0.0544739
426, 8.34794, 0.0552521
420, 7.87147, 0.0544739
426, 6.80003, 0.0552521
420, 6.176, 0.0544739
426, 6.12698, 0.0552521
